#date=2022/01/30 18:19:45;source=MUSIALv2.0;reference=TP0488;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	3	0	0	0	0	3
Q3	3	0	0	0	0	3
SHC-0	3	0	0	0	0	3
PT_SIF1348	3	0	0	0	0	3
PT_SIF0697	3	0	0	0	0	3
CZ33	3	0	0	0	0	3
PT_SIF1142	3	0	0	0	0	3
PT_SIF1020	3	0	0	0	0	3
PT_SIF1063	3	0	0	0	0	3
PT_SIF1140	3	0	1	0	0	2
PT_SIF1261	3	0	0	0	0	3
PT_SIF1183	3	0	0	0	0	3
GHA1	34	0	15	0	0	19
NE20	3	0	0	0	0	3
PT_SIF0877_3	3	0	0	0	0	3
A2_2	3	0	0	0	0	3
A2_1	3	0	0	0	0	3
GRA2	8	0	8	0	0	0
SHG-I2	3	0	0	0	0	3
AR2	4	0	1	0	0	3
SS14	4	0	0	0	0	4
SHD-R	3	0	0	0	0	3
PT_SIF1278	3	0	0	0	0	3
PT_SIF1156	3	0	0	0	0	3
PT_SIF1196	3	0	0	0	0	3
B3	3	0	0	0	0	3
NE17	3	0	0	0	0	3
NE19	3	0	0	0	0	3
NE12	3	0	0	0	0	3
NE13	3	0	0	0	0	3
NE14	3	0	0	0	0	3
NE15	3	0	0	0	0	3
SamoaD	33	0	0	2	2	31
PT_SIF0954	3	0	0	0	0	3
AU17	3	0	0	0	0	3
PT_SIF1127	3	0	0	0	0	3
AU15	3	0	0	0	0	3
AU16	3	0	0	0	0	3
PT_SIF0751	3	0	0	0	0	3
AU13	3	0	0	0	0	3
K3	3	0	0	0	0	3
BAL73	1	0	0	0	0	1
PT_SIF1002	3	0	0	0	0	3
PT_SIF1167	3	0	0	0	0	3
PT_SIF1200	3	0	0	0	0	3
PT_SIF1242	3	0	0	0	0	3
SW1	3	0	0	0	0	3
UW1	12	0	9	0	0	3
C3	3	0	0	0	0	3
PT_SIF1280	3	0	0	0	0	3
SW4	4	0	3	0	0	1
SW6	3	0	0	0	0	3
SW8	3	0	0	0	0	3
PT_SIF0908	5	0	2	0	0	3
Dallas	0	0	0	0	0	0
SEA86	3	0	2	0	0	1
CZ27	3	0	0	0	0	3
P3	3	0	0	0	0	3
Chicago	1	0	0	0	0	1
PT_SIF1135	3	0	0	0	0	3
MexicoA	27	0	0	0	0	27
PT_SIF1299	3	0	0	0	0	3
SHE-V	3	0	0	0	0	3
Seattle81	3	0	0	0	0	3
BosniaA	33	0	0	0	0	33
PT_SIF1252	3	0	0	0	0	3
Gauthier	36	0	0	2	2	34
NIC1	1	0	1	0	0	0
NIC2	0	0	0	0	0	0
CDC2	37	0	0	2	2	35
IND1	35	0	2	2	2	31
SAM1	33	0	0	2	2	31
BAL3	3	0	0	0	0	3
Fribourg	37	0	0	2	2	35
